kegg_cid,month,month_mean_int,log_int
C00148,May,36297864.425360486,26.113381334372658
C00148,October,53064587.8048546,26.661246076249746
C00148,September,27623039.082915433,25.719368717647207
C00178,August,19020281.326305073,25.181035249267197
C00178,July_1,18145535.878332075,25.11311132767504
C00178,July_2,22338498.02810673,25.41302885091693
C00178,July_3,15432805.734544706,24.87949703664112
C00178,June,18332038.942108613,25.12786391970623
C00178,May,13970771.809558034,24.735908388256288
C00178,October,20043616.254473433,25.256639486204225
C00178,September,15099998.01864754,24.84804502445808
C00185,August,1574622317.8910651,31.55235868548982
C00185,July_1,1631542635.5991464,31.603589542527747
C00185,July_2,1675634727.7378733,31.64206054364711
C00185,July_3,1335568222.0564704,31.3148065260347
C00185,June,2087225868.1671004,31.958939583498193
C00185,May,2064591142.908571,31.943208962749697
C00185,October,2006742765.9166346,31.90220855084585
C00185,September,1525420124.7301078,31.506559492327778
C00212,August,61753696.94637051,26.880022171865004
C00212,July_1,52266680.94097488,26.639388211838597
C00212,July_2,59200592.0284927,26.81910826763839
C00212,July_3,54718803.63614786,26.705533351908578
C00212,June,56155475.01086591,26.74292335266035
C00212,May,46774877.727219254,26.479230546377437
C00212,October,66491021.54722186,26.98665620717411
C00212,September,45966375.34703618,26.45407557193628
C00213,August,56145215.45006143,26.742659749338326
C00213,July_1,53587572.703891836,26.67539513360341
C00213,July_2,58664915.55377603,26.8059946242928
C00213,July_3,50688878.95547006,26.595165921584016
C00213,June,36664364.52999152,26.12787519888859
C00213,May,17810490.08769573,25.086223879548335
C00213,October,30188625.93401989,25.84750175682693
C00213,September,32316130.06268883,25.945751106309555
C00217,August,244452993.6052512,28.86498183199662
C00217,July_1,144752601.8959795,28.10901403967051
C00217,July_2,161184880.1200183,28.26414117790936
C00217,July_3,140797424.6572618,28.06904570480581
C00217,June,171224494.964994,28.351313864089498
C00217,May,133842200.24102429,27.99595782634455
C00217,October,167939205.69403863,28.323363828311418
C00217,September,108522299.22339974,27.69341627802241
C00242,August,25386681.897343665,25.597568507677817
C00242,July_1,25144453.371695764,25.583736854473898
C00242,July_2,30807569.448782794,25.876781530213997
C00242,July_3,20526112.44524382,25.29095707748113
C00242,June,25871192.11774731,25.624843197659658
C00242,May,18410303.528198507,25.134010076614562
C00242,October,30326505.931028374,25.854075951611172
C00242,September,20979018.59326411,25.322443853864186
C00253,August,13337601.20115326,24.66899588197899
C00253,July_1,12246294.363674663,24.545841930834193
C00253,July_2,12840784.965868752,24.614230062291007
C00253,July_3,12471574.916602869,24.572140325121243
C00253,June,10789519.646286128,24.363127301109106
C00253,May,8206227.304691864,23.96828768538865
C00253,October,11649873.803896893,24.473810991324726
C00253,September,8517096.036997806,24.021930186727616
C00262,August,13086097.60360463,24.641531600509342
C00262,July_1,12197187.16163883,24.540045145127444
C00262,July_2,15656169.404443806,24.900227935765944
C00262,July_3,10782596.001531271,24.362201225200856
C00262,June,16773398.669448834,24.999671705336333
C00262,May,13373331.299012538,24.672855549980998
C00262,October,21501885.751713578,25.357959856367806
C00262,September,12628348.338001104,24.59016262555439
C00318,August,150684447.8733237,28.166955283308354
C00318,July_1,127416866.33388387,27.924981020725195
C00318,July_2,110798127.18888326,27.72335825494317
C00318,July_3,103190854.97197366,27.620739880333083
C00318,June,75811930.74162018,27.175921571543448
C00318,May,54485022.53801745,26.69935636419708
C00318,October,83933108.075762,27.322736669571086
C00318,September,92389646.4018399,27.461227850034167
C00327,August,14311970.287177278,24.770718961564018
C00327,July_1,14849925.281775549,24.823952336255555
C00327,July_2,12794651.822310446,24.60903755242042
C00327,July_3,12679712.43258244,24.596018690698976
C00327,June,6958563.128502646,23.730358004508517
C00327,May,4238503.308113003,23.01512348242474
C00327,October,6915903.372452073,23.72148628141339
C00327,September,7363721.108758964,23.812003556871637
C00329,August,18491365.98663063,25.140348467068666
C00329,July_1,16623573.156251037,24.986727179938665
C00329,July_2,14047900.30427453,24.74385117565537
C00329,July_3,13024809.97446109,24.63475898866139
C00329,June,15595275.444583671,24.89460569810511
C00329,May,15595535.532634515,24.894629758251632
C00329,October,17950104.776661687,25.09748892944811
C00329,September,15007795.750862882,24.83920876290092
C00334,August,17404933.184631426,25.052992939957367
C00334,July_1,8759763.083167117,24.062460420501996
C00334,July_2,8278793.78705174,23.98098915296603
C00334,July_3,8399559.534247175,24.001882245499097
C00334,June,11658677.537979754,24.474900814876634
C00334,May,12528020.27005173,24.578655116202768
C00334,October,7977595.19653845,23.927522488592412
C00334,September,8422176.61402993,24.005761698632362
C00380,August,7667946.158133641,23.870408776222483
C00380,July_1,5348500.5082812095,23.350703047288793
C00380,July_2,5928124.4330977,23.49914429988441
C00380,July_3,4548239.627914232,23.116876835185035
C00380,June,5959497.38363089,23.506759230092115
C00380,May,6069920.869502636,23.533246278240025
C00380,October,9896781.73063017,24.238528030265055
